company_id,year,capital_allocation,free_cash_flow,fcf_conversion,capex_intensity
APOLLOHOSP,Mar 2024,Shareholder Returns,383.0,16.0,8.06
ASIANPAINT,Mar 2013,Reinvestor,724.0,41.68,4.41
ASIANPAINT,Mar 2014,Reinvestor,816.0,40.72,4.8
ASIANPAINT,Mar 2015,Reinvestor,723.0,32.23,3.42
ASIANPAINT,Mar 2016,Reinvestor,1377.0,50.53,6.07
ASIANPAINT,Mar 2017,Reinvestor,846.0,28.26,4.52
ASIANPAINT,Mar 2018,Reinvestor,557.0,17.38,9.25
ASIANPAINT,Mar 2019,Reinvestor,1552.0,41.22,4.77
ASIANPAINT,Mar 2020,Reinvestor,2520.0,60.62,2.56
ASIANPAINT,Mar 2021,Reinvestor,3142.0,64.7,2.49
ASIANPAINT,Mar 2022,Reinvestor,669.0,13.93,1.09
ASIANPAINT,Mar 2023,Reinvestor,2911.0,46.5,3.72
ASIANPAINT,Mar 2024,Reinvestor,3556.0,46.88,7.18
AXISBANK,Mar 2013,Mixed,-8366.0,-100.64,40.24
AXISBANK,Mar 2014,Mixed,298.0,3.09,46.23
AXISBANK,Mar 2015,Growth Funded by Debt,-23134.0,-207.91,22.47
AXISBANK,Mar 2016,Distress Signal,-25284.0,-189.15,22.47
AXISBANK,Mar 2017,Reinvestor,19751.0,82.96,27.97
AXISBANK,Mar 2018,Growth Funded by Debt,-48397.0,-167.49,21.86
AXISBANK,Mar 2019,Mixed,18451.0,67.95,33.96
AXISBANK,Mar 2020,Mixed,20931.0,59.69,15.14
AXISBANK,Mar 2021,Mixed,-41655.0,-131.2,85.7
AXISBANK,Mar 2022,Mixed,1025.0,3.42,40.24
AXISBANK,Mar 2023,Mixed,-10276.0,-35.33,37.99
AXISBANK,Mar 2024,Growth Funded by Debt,-14556.0,-38.36,8.23
BAJAJ-AUTO,Mar 2013,Reinvestor,824.0,22.54,6.96
BAJAJ-AUTO,Mar 2014,Reinvestor,1430.0,34.35,10.29
BAJAJ-AUTO,Mar 2015,Reinvestor,1734.0,42.01,1.76
BAJAJ-AUTO,Mar 2016,Reinvestor,3622.0,75.57,0.3
BAJAJ-AUTO,Mar 2017,Reinvestor,-343.0,-7.74,16.59
BAJAJ-AUTO,Mar 2018,Reinvestor,2374.0,48.99,7.75
BAJAJ-AUTO,Mar 2019,Reinvestor,2214.0,42.59,0.9
BAJAJ-AUTO,Mar 2020,Liquidating Assets,5616.0,109.92,5.9
BAJAJ-AUTO,Mar 2021,Reinvestor,251.0,5.08,10.34
BAJAJ-AUTO,Mar 2022,Liquidating Assets,4473.0,85.05,0.83
BAJAJ-AUTO,Mar 2023,Liquidating Assets,6488.0,100.36,3.32
BAJAJ-AUTO,Mar 2024,Reinvestor,6486.0,74.0,0.16
BAJAJFINSV,Mar 2013,Distress Signal,-3969.0,-100.97,36.66
BAJAJFINSV,Mar 2014,Distress Signal,-6043.0,-134.56,62.49
BAJAJFINSV,Mar 2015,Distress Signal,-7022.0,-127.42,32.72
BAJAJFINSV,Mar 2016,Growth Funded by Debt,-10681.0,-158.5,4.32
BAJAJFINSV,Mar 2017,Distress Signal,-10771.0,-123.62,0.62
BAJAJFINSV,Mar 2018,Growth Funded by Debt,-20502.0,-190.04,2.81
BAJAJFINSV,Mar 2019,Growth Funded by Debt,-33979.0,-225.97,16.2
BAJAJFINSV,Mar 2020,Growth Funded by Debt,-33317.0,-182.48,18.3
BAJAJFINSV,Mar 2021,Mixed,863.0,4.39,6.08
BAJAJFINSV,Mar 2022,Distress Signal,-32225.0,-150.2,2.11
BAJAJFINSV,Mar 2023,Growth Funded by Debt,-53425.0,-178.87,16.99
BAJAJFINSV,Mar 2024,Growth Funded by Debt,-79634.0,-194.77,9.93
BAJAJHLDNG,Mar 2013,Reinvestor,104.0,32.3,109.5
BAJAJHLDNG,Mar 2014,Reinvestor,353.0,88.25,122.7
BAJAJHLDNG,Mar 2015,Reinvestor,332.0,68.6,88.55
BAJAJHLDNG,Mar 2016,Liquidating Assets,2166.0,504.9,216.81
BAJAJHLDNG,Mar 2017,Pre-Revenue,-1295.0,-206.21,44.18
BAJAJHLDNG,Mar 2018,Reinvestor,508.0,143.1,267.38
BAJAJHLDNG,Mar 2019,Reinvestor,465.0,134.01,37.82
BAJAJHLDNG,Mar 2020,Reinvestor,1120.0,372.09,183.91
BAJAJHLDNG,Mar 2021,Reinvestor,-36.0,-10.23,67.4
BAJAJHLDNG,Mar 2022,Reinvestor,1459.0,397.55,31.2
BAJAJHLDNG,Mar 2023,Reinvestor,1591.0,418.68,26.25
BAJAJHLDNG,Mar 2024,Reinvestor,1469.0,94.05,27.73
BAJFINANCE,Mar 2015,Growth Funded by Debt,-7424.0,-423.74,6.68
BAJFINANCE,Mar 2016,Growth Funded by Debt,-10557.0,-448.47,9.41
BAJFINANCE,Mar 2017,Growth Funded by Debt,-13486.0,-414.95,30.56
BAJFINANCE,Mar 2018,Distress Signal,-19491.0,-473.66,8.43
BAJFINANCE,Mar 2019,Growth Funded by Debt,-34441.0,-631.48,29.1
BAJFINANCE,Mar 2020,Growth Funded by Debt,-33170.0,-362.16,33.21
BAJFINANCE,Mar 2021,Growth Funded by Debt,-1236.0,-11.4,1.61
BAJFINANCE,Mar 2022,Distress Signal,-30743.0,-258.78,20.06
BAJFINANCE,Mar 2023,Growth Funded by Debt,-52506.0,-413.66,25.1
BAJFINANCE,Mar 2024,Growth Funded by Debt,-79931.0,-496.5,13.04
BANKBARODA,Mar 2013,Shareholder Returns,22682.0,207.14,1.41
BANKBARODA,Mar 2014,Mixed,41503.0,344.45,1.8
BANKBARODA,Mar 2015,Shareholder Returns,17282.0,128.34,1.24
BANKBARODA,Mar 2016,Pre-Revenue,-14016.0,-55.2,8.74
BANKBARODA,Mar 2017,Shareholder Returns,17314.0,89.94,1.24
BANKBARODA,Mar 2018,Growth Funded by Debt,-60106.0,-230.35,0.9
BANKBARODA,Mar 2019,Growth Funded by Debt,-3986.0,-15.44,4.8
BANKBARODA,Mar 2020,Mixed,18392.0,45.32,0.18
BANKBARODA,Mar 2021,Pre-Revenue,-1358.0,-3.57,0.63
BANKBARODA,Mar 2022,Shareholder Returns,2565.0,6.84,4.97
BANKBARODA,Mar 2023,Pre-Revenue,-22450.0,-58.72,1.16
BANKBARODA,Mar 2024,Growth Funded by Debt,-7559.0,-17.03,1.09
