company_id,compounded_sales_growth
TCS,TTM:            5%             
HDFCBANK,TTM:            47%
SBILIFE,TTM:            43%
INFY,TTM:            3%
SBILIFE,5 Years:       24%
HDFCBANK,5 Years:       22%
INFY,5 Years:       13%
TCS,5 Years:       10%             
INFY,3 Years:       5%
HDFCBANK,3 Years:       30%
SBILIFE,3 Years:       17%
TCS,3 Years:       14%             
HDFCBANK,10 Years: 21%
SBILIFE,10 Years:     23%
INFY,10 Years:     12%
TCS,10 Years:     11%             
